Date,Title,Link,Source
2020-03-12 07:00:00,"Thai stocks tumbles, SET drops nearly 6% - Thaiger",https://news.google.com/rss/articles/CBMihAFBVV95cUxPRFg4ZVNrMDlsUmM0dW0tSlJkTkFZc0dyZEEyWENGSWYwSV84cHMzdkV6Y2FCTENvTGpYWXhhNkFTaElVYTAwOGlrcVJsclVUX2lnZHJub3BqeUtvSmkyTXBxT0hVbWtOa0NDU3NCYmxwNUVsUjZIWnVULVBSeHdfQkhhNFI?oc=5,Thaiger
2020-09-25 07:00:00,SCG Packaging’s IPO expected to shake up the market - Nation Thailand,https://news.google.com/rss/articles/CBMiV0FVX3lxTE9HenVTUXVsR01sbG1EY0ZpQlF3MVVISW9JNlhZOTZGZndhQTlNTmJxalBoZzIyMy1lZVUyTG9OeWlwZXUxb2N2QW5naFdocTRNTWw0c2dWOA?oc=5,Nation Thailand
2020-12-30 08:00:00,SET mulls measures after Delta surge - bangkokpost.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxOcmVScVlYR1JPX3BEN0tVcU1BLXpmZ3EtdEF3clZYLTFXWWltMFhsQUxtMHRLbG5IbVJ6bkJJVGx3enJSWE9GQ0RmLUVvaVRGSnh0NFFpVXNDNDlMTk5LS2taSkdMNnpJTndiUFpMa0dmSmxJZjRHMFhsTXVnMDBFMFBSaVJrbzhCd0RXOFQwbHFfdlU?oc=5,bangkokpost.com
2021-01-06 08:00:00,SET prepares to revise SET50 standards - bangkokpost.com,https://news.google.com/rss/articles/CBMilgFBVV95cUxOUlpnWmo5OGhhQk95cVpmWV84UWtPRG5XbUtybUt1ajBac2htM185M3NJVFpZZFM5dkFjZi0yQXE0QW9IQkdnN1FYU093VXpFRGhiaXBoWks5TGtkNWJTUXpKUTVlTjlub2VXbU1URWNQYUR4NUJPYi1FMFoyemR1YWVzZkg3TVF4VmJ5eWtzZ25MTF85SlE?oc=5,bangkokpost.com
2021-03-20 07:00:00,New methodology for three indices to commence in July - bangkokpost.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxONk05UjdQS1Y4Vmd5Sk42N3dVQlBqdi1WanZWWjB3NE1Xd1Exck5rdi1wZHdJTzQ3RXN4Y0JIU0ttVHZabDZqa05nX1REYVRaVzBTZ3ZxU18yVHBDMjdkUmhmUkYzWl9VWENwSlhEQzZ2OGRhVVZVRll6LXNjeHZIdjJCbW1reTlfZ3psN2NFb3MxS2RQQU9DOEpabVBpcFNEUzdWRmpVdWM2QQ?oc=5,bangkokpost.com
2022-07-22 07:00:00,"Six stocks face removal from the SET50, with IRPC and BLA most at risk - kaohoon international",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBFZFNsVmhBMF92Nlc2T2pjaFpyREZGQUdiaURPcm9sS0g3eGdvYkNpMko2NlpENjZRZjBKNFhrQUlialNGNXBOYkJZQlBJT1lhU296MTlESTY1UjU5Z3FHLQ?oc=5,kaohoon international
2023-03-01 08:00:00,SET Index Series Announcement :Mergers & Acquisitions of TRUE and DTAC - SET,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPcFl2RUtXVlpZV2FlaGRrOW9xQlJ2ajRVWUJCN1ZhVE1oYVN1cW80SDdEZFFHOXRnSnNtVEtXYWk0bWxSaWd4aUwyVzBLMFdORFh3Q3lZeGhVcVEzd1lJVHBSd2N1UHg5QnFHQUJ2bTdzcGxjU2ZhQ0JWVWVIVE1LUmJPUWNEcWlObWN3?oc=5,SET
2023-05-23 07:00:00,Retail investors in Singapore can invest in Thai blue chips from May 30 - The Straits Times,https://news.google.com/rss/articles/CBMirgFBVV95cUxOU3h6RnFWeUxQT0cwZ0VtNkJRd3RRZ1dib2g4ZFNvUGljVjJkZW5mcWNLNmhZT1VKNHFUSG14b2xsTVlOR1phbmQ1MkxNSXhDTi1NcGV6aXNicnl6dy0wa0VEVURrQ245QlNFMGVTZlRLSDJrSFgyU3lzU3BfeklkTzlsUFh6VHRqUXFqdElXOERURmRVMS1UMjRoOWtqRjVJWnd4N3N6cXh2dHF0SXc?oc=5,The Straits Times
2023-08-09 07:00:00,Thai Banks to Benefit Most from New SET Free Float Adjusted Index - kaohoon international,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9mX3RqcUJNSkZVanU5dWxEdU84NmtxaDVwZ21zOGpoQ2J5am40Q004WHU2THdycWNuV2VNYjJHdmFNNmdUcXB1WF9tNkFUTnRIdHlIdkJDWVkxZklJRTRNcg?oc=5,kaohoon international
2024-03-30 07:00:00,5 Singapore Depository Receipts linked to Thai blue chips to trade on SGX from April 1 - The Straits Times,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOTGpQbWFmaXgwRHpTd09mM0FjZTNpLTBwV1dvaEZGQkN5MHJndHpRbTVQRmZleVhrbkFOekFDcGV3b3lFZzhJSmIwQktyLWtOZFExMTlVeTJlX1dVMUM4YkdzM0N0RTFsMjJsdU5aZHZvWmdtYllSZFJVOWYzcXc2dWVMOGZqbDV1UmplVWlFOWdvUWZIc2FsQmtvSjhFalFBVC1TVEhqSVBYeTA1SWp1djFDeUFQcXZnQWhUdXBFd3VWZw?oc=5,The Straits Times
2024-04-09 07:00:00,Thailand’s Stock Market Report for March 2024 - kaohoon international,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1pT2xYV2xCME1RMVQzQkVJMVV0S0tkdFJRMVJlQlZoTDNIcDVSOTNhajVJd1FYYlljVUtmNjRPcmo4T3JhRWVWUl9TTDZxWW1GX3g5Sl9zLVFwZ1hJU1dVQw?oc=5,kaohoon international
2024-05-16 07:00:00,How to Invest in Thailand - Moneyland.ch,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBxYTRCNzA1Z3U2ckZGVWY3cExwNlB1WHZKd09CVFhfVjUxSlk1S25DTjQ3aUlyQ2x6eFpEZDhIMjVTbkZBRWY4eWtvUjFQcDI5M2Q3MEhhRlQ1R3YxaEE?oc=5,Moneyland.ch
2024-06-17 07:00:00,"BCP, BJC, ITC and TIDLOR Move Up to Thailand’s Blue-Chip SET50 - kaohoon international",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5GcDhSZElzdFBZTjl0SzBoSEpnVEpQbkxMV2VqcHZwSkdXWTJDdmE1dGRNNnJLMDJLYzBFWmhkMUVHOWhnM0dtaTFmM0p2QURTb3hjbTV5djRWdnhDdDd4aA?oc=5,kaohoon international
2024-06-18 07:00:00,Building a Globally Diversified Portfolio: 5 Thai Blue-Chip Stocks To Look Out For - Syfe,https://news.google.com/rss/articles/CBMitAFBVV95cUxNNU1oUHFGbE12VDFLQXZvV25mSGE4MnUtcE5aNEMxSWstUXJna05OUk5NN3dzZE1mbFNVZnk5VkNjLXNRaV9VQ1RqT1VNc1dRVms4c0ZVTmp5U3ZLYXlBQk1pZFhFOWFCWnNXZG03aVI3b1AzTW5SQkdLb1FEYmFnXzhicmFsTkFwdzFZbm43dUtraHI1bDBHX2FwdHBEZmx0T1VPT0dIX2hMRHFvdDVYR3cxVks?oc=5,Syfe
2024-07-07 07:00:00,Social Security Fund looks to revamp investment portfolio - Nation Thailand,https://news.google.com/rss/articles/CBMidkFVX3lxTE1EWnp4YXhMc3dqRVlXOTg1cTFxMGVqenU4ZlhTenlxTHBQNVJjRlo1bV9PaWNPSW0zVTVrQXpYU1ZlUnBDOGFra1hTRk1xMER6YW0zVVVhdTd1Q2FZc19ka1laWnI5OVVSRjZXbWViNlJldTNtd0E?oc=5,Nation Thailand
2024-07-09 07:00:00,SET News : SET market report for June 2024 - SET,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNc3FEc3k5bVJuMjczdzRqTVh5dGlYUEExNXBXMGdrUTJDR1pZM1pRbTU2M2RmU2Z1WFQ4Z3hveHB6TTUtOFY4Mk1KcjlzVXp4TkVuM2hKLXlabTlBWEsxTVJjTnNEVHdzWm9mVVJ4bzRyeGpCWjUtd2NWY3ZZcmdLWWxfTUpQN3BX?oc=5,SET
